"Iqtidaa-ul-'Ilm al-'Amal
Knowledge Mandates Action",______: ______ _____ _____
"""Verily, in the Hellfire there is a valley, which the Hellfire seeks refuge from seven times every day. And verily, in this valley there is a pit, which the valley and the Hellfire seek refuge from seven times every day. And verily, in this pit there is a snake, which the pit, the valley and the Hellfire seek refuge from seven times every day. It will begin first with the wicked bearers of the Qur'aan. So they will say: 'O Lord! Will you start with (punishing) us before the idol worshippers? It will be said to them: 'The one who knows is not like the one who doesn't know.'""","“_____ ___ _________ __________ ___________ _________ ____ ______ _________ _____ ______ ______ _________ _______ ___ _________ ________ ___________ _________ ___________ ____ ______ ________ _____ ______ ______ _________ _______ ___ ________ _________ ___________ ________ ___________ ___________ ____ ______ __________ _____ ______ ______ _________ ________ __________ ________ ___________ ____________: ____ _____ ______ _____ ______ ________ _____________ _____ ______: ______ ____ ________ ______ ___ ________ """
"[114] 'Abdur-Rahmaan bin Ahmad Al-Qazweenee informed us, saying: 'Alee bin Ibraaheem bin Salamah Al-Qattaan informed us, saying: Abu Haatim Ar-Raazee narrated to us: Hadbah narrated to us: Salaam, i.e. Ibn Abee Mutee', narrated to us, saying: I heard Ayoob As-Sakhtiyaanee say: ""There is no evil more despicable than a sinful reciter (i.e. of the Qur'aan).""","114 - ___________ ______ ___________ ____ ________ ________________ _____: ________ _______ ____ ____________ ____ ________ ____________ ___ _____ _______ ____________ ___ _________ ___ ________ _______ _____ _____ ________ _____: ________ ________ __________________ _______: «___ _______ ________ ____ _______ _______»"
"[115] And Abu Haatim said: Hadbah narrated to us: Hazm, i.e. Al-Qutay'ee, narrated to us, saying: I heard Maalik bin Deenaar say: ""I am indeed more fearful of the sinful reciter of the Qur'aan than of the sinful person who openly displays his evil, since this person (i.e. the later) is the least deceiving of the two.""","115 - _______ _____ _______: __ _________ __ ______ ____ _____________ _____: ________ _______ ____ _________ _______: «_______ ___________ __________ ________ ______ ____ __________ ___________ ____________ _____ _____ _____________ _______»"
"[116] Abul-Qaasim Bakraan bin at-Tayyib bin Al-Hasan As-Saqatee informed me in Jarjaraayaa: Muhammad Ahmad bin Ya'qoob Al-Mufeed narrated to us: Ahmad bin Al-Hasan bin 'Abdil-Jabbaar and Ahmad bin 'Alee bin Al-Mathnaa both narrated to us, saying: 'Abdus-Samad bin Yazeed narrated to us, saying: I heard Al-Fudayl say:","116 - ___________ _____ __________ _________ ____ ________ ____ _________ _____________ _______________ ___ _________ ____ ________ ____ _________ ____ _________ ___________ ___ ________ [_:76] ____ _________ ____ ______ ____________ __________ ____ _______ ____ ____________ ______: ___ ______ _________ ____ ________ _____: ________ ____________ _______:"
"""Indeed, the Qur'aan was only revealed so that it could be acted upon, but the people have just taken its recitation as an action."" It was said: ""How is it to be acted upon?"" He said: ""By permitting it’s lawful, prohibiting its unlawful, implementing its commandments, abstaining from its prohibitions, and refraining with regard to its miracles.""","“________ ______ __________ __________ ____ __________ ________ ___________ ________ _____: _____ ______ _________ _____ _____: ____ ___________ _________ _____________ __________ ______________ ______________ ____________ ____ ___________ __________ ______ ___________"""
"[117] Abul-Hasan Muhammad bin 'Umar bin 'Eesaa bin Yahyaa Al-Baladee informed me, saying: Muhammad bin Al-'Abbaas bin Al-Fadl bin Yoonus Al-Khayyaat narrated to us in Mawsil: Muhammad bin Ahmad bin Abil-Mathnaa narrated to us: Qabeesah bin 'Uqbah narrated to us from Sufyaan Ath-Thawree from Mansoor that Abu Ruzain said concerning Allah's statement:","117 - ___________ _____ _________ _________ ____ ______ ____ ______ ____ _______ _____________ _____: _____ _________ ____ ___________ ____ _________ ____ _______ ____________ ______________ __ _________ ____ ________ ____ _____ ____________ __ _________ ____ _________ ____ _________ _____________ ____ __________ ____ _____ ________ ___ ________ ________"
"""They recite it (the Qur'aan) the way it should be recited"":61
""(Meaning): They follow it the way it should be followed, and they act upon it the way it should be acted upon.""","“{___________ _____ ___________} [______: 121] «_____» ______________ _____ ____________ ___________ ____ _____ ________"""
"[118] The Judge, Abu Muhammad Yoosuf bin Rabaah bin 'Alee Al-Ba informed us: Abu 'Abdillaah Muhammad bin Al-Muhsin bin Al-Husayn Al-Azdee narrated to us in Egypt, saying: Al-'Abbaas bin Ahmad Al-Khawaateemee reported to us in Tarsoos: Al-'Abbaas bin Al-Fadl Al-Ursoofee narrated to us: Ahmad bin 'Abdil-'Azeez narrated to us: Nasr bin 'Eesaa narrated to us: Maalik bin Anas narrated to us from Naafi' from Ibn 'Umar that the Prophet H said concerning Allaah's statement:","118 - ___________ _________ _____ _________ _______ ____ _______ ____ _______ [_:77] _____________ ___ _____ ______ _______ _________ ____ ___________ ____ ___________ ____________ _________ _____: _____ ___________ ____ ________ _________________ ____________ __ ___________ ____ _________ ________________ __ ________ ____ ______ ___________ __ ______ ____ _______ __ _______ ____ _______ ____ ________ ____ _____ _______ ____ __________ ______ _____ ________ _________ ___ ______ _______ ________"
"""They recite it (the Qur'aan) the way it should be recited"": ""(Meaning): They follow it the way it should be followed.""","“{___________ _____ ___________} [______: 121] “_____: ______________ _____ ___________"""
The Disapproval of Acquiring Knowledge For Other than the Sake of Worship,_____ _____ ____________ ________ ____________
"[119] Abu Sa'eed Muhammad bin Moosaa bin Al-Fadl bin Shaadhaan As-Sayrafee informed us in Naisapur: Abul-'Abbaas Muhammad bin Ya'qoob Al-Asam narrated to us: A1-'Abbaas bin Al-Waleed bin Mazeed Al-Bayrootee informed us, saying: My father informed me: Al-Awzaa'ee narrated to us, saying:","119 - ___________ _____ _______ _________ ____ ______ ____ _________ ____ ________ ______________ _______________ ___ _____ ___________ _________ ____ _________ ___________ ___________ ___________ ____ __________ ____ _______ ________________ _____: ___________ ______ ___ ________________ _____: __________ _______ _____ _______:"
"""I have been informed that it used to be said: 'Woe to those who acquire (religious) knowledge for other than the sake of worship and to those who permit the unlawful due to doubtful arguments.""","«______ __________________ ________ _____________ ___________________ ____________ ______________»"
"[120] Al-Hasan bin 'Alee Al-Jawharee informed us: Muhammad bin Al-'Abbaas Al- Kharraaz narrated to us: Yahyaa bin Muhammad bin Saa'id narrated to us: Al-Husayn bin Al-Hasan Al-Marwazee narrated to us, saying: Ibn Al-Mubaarak informed us, saying: Bakaar bin 'Abdillah informed us, saying: I heard Wahb bin Munabbih say: ","120 - ___________ _________ ____ _______ _______________ ___ _________ ____ ___________ ____________ ___ _______ ____ _________ ____ ________ __ ___________ ____ _________ _______________ _____: ________ _____ _____________ _____: ________ ________ ____ ______ ________ _____: ________ ______ ____ __________ _______:"
"""Allaah, the Most High, said in His censure of the Rabbis (scholars) from amongst the Children of Israa'eel (i.e. Jews): 'Will you learn for other than the sake of the Religion, and acquire knowledge for other than the sake of acting on it? Will you purchase the worldly life using deeds (meant) for the Hereafter? You wear the skins of sheep yet conceal (within yourselves) the souls of wolves. You quickly clean the filth that falls into your drinks yet you readily swallow the equivalent of mountains from the unlawful. You make the Religion burdensome upon the people like the weight of mountains, and you don't assist them by even lifting up your pinky fingers.","“_____ _______ ________ ______ _______ ____ _________ _____ ____________: ______________ ________ _________ ______________ ________ __________ ______________ __________ ________ ___________ ___________ _______ _________ ___________ ________ ___________ ____________ ________ ____ ____________ _______________ _________ __________ ____ __________ [_:79] ______________ ________ _____ ________ _________ ___________ _____ ______________ ________ _____________"
"You prolong the prayer and whiten the garments. You illegally seize the wealth of the orphan and the widow. By My might, I swear that I will indeed strike you with a calamity in which the opinion of every opinionative person and the wisdom of every wise person (amongst you) will be led astray.'""","____________ __________ ______________ ___________ _______________ _____ __________ ________________ __________ ________ _________________ __________ _______ ______ ______ _____ ___ _______ __________ __________"""
"[121] Al-Hasan bin Abee Bakr informed us, saying: 'Uthmaan bin Ahmad Ad-Daqaaq informed us: Al-Hasan bin Salaam narrated to us: Abu Nu'aim narrated to us: Abul- Jaabiyah narrated to us: Al-Farraa' narrated to us, saying: Ash-Sha'abee said:","121 - ___________ _________ ____ _____ _______ _____: ___________ _________ ____ ________ ____________ __ _________ ____ _________ __ _____ _________ __ _____ ____________ ____________ _____: _____ _____________:"
"""Verily, we are not Fuqahaa (men of understanding). We merely listen to the Hadeeth and then narrate it (to others). Rather, the Fuqahaa are those who when they know something, act upon it.""","«______ _______ _______________ __________ _________ __________ ______________ _________ ____________ ____ _____ ______ ______»"
"[122] Al-Hasan bin Muhammad Al-Khallaal narrated to us: 'Umar bin Ahmad, the Admonisher, narrated to us: 'Abdullaah bin Muhammad bin Ziyaad narrated to us: Al- 'Abbaas bin Al-Waleed bin Mazeed narrated to us, saying: My father narrated to us, saying: I heard Al-Awzaa'ee say:","122 - ________ _________ ____ _________ ____________ ___ ______ ____ ________ ___________ __ ______ _______ ____ _________ ____ ________ _____ ___________ ____ __________ ____ ________ __ ______ _____: ________ ________________ _______:"
"""When Allaah desires evil for a people, He opens the door of argumentation for them and prevents them from (doing good) deeds.""",«_____ _______ _______ ________ ______ ______ __________ _________ ____________ _________»
"[123] Abu 'Abdillaah Al-Husayn bin Ja'far As-Salmaasee informed us, saying: Ahmad bin Ibraheem bin Shaadhaan informed us: Ahmad bin Muhammad bin 'Abdil-Kareem Al-Wasaawasee narrated to us: 'Abdullaah bin Khubaiq narrated to us, saying: I heard Ibraaheem Al-Bakaa say: I heard Ma'roof bin Fayrooz Al-Kurkhee say:","123 - ___________ _____ ______ _______ ___________ ____ ________ ________________ _____: ____ ________ ____ ____________ ____ _________ __ ________ ____ _________ ____ ______ __________ ________________ ___ ______ _______ ____ _________ _____: ________ ____________ ____________ _______: ________ _________ ____ _________ _____________ _______:"
"""When Allaah intends good for a servant, He opens for him the door of actions and closes for him the door of argumentation. And when Allaah intends evil for a servant, He opens for him the door of argumentation and closes for him the door of actions.""","«_____ _______ _______ ________ _______ ______ ____ _____ __________ __________ ______ _____ __________ _______ _______ _______ ________ ______ ______ ____ _____ __________ __________ ______ _____ _________»"
"[124] Abul-Qaasim 'Ubaydullaah bin 'Umar bin Ahmad, the Admonisher, informed us, saying: My father narrated to me, saying: 'Alee bin Muhammad Al-Misree narrated to us: Muhammad bin Zayd narrated to us that Ibn Suwayd said: Abu Nu'aim Al-Fadl bin Dukain narrated to us saying: I entered into the presence of Zafar when he was at the point of death, so he raised his head up to me and said to me:","124 - ___________ _____ __________ ________ _______ ____ ______ ____ ________ ___________ _____: __________ ______ _____: __ _______ ____ _________ _____________ __ _________ ____ _________ ____ _________ _____: __ _____ ________ _________ ____ _________ _____: ________ _____ ______ ______ __________ ________ ___ _________ ________ ________ _______ _______ ___:"
