ABU ’L-HASAN 'ALI IBN ISMA'IL AL AS 'ARI’S,الإبانة عن أصول الديانة
"nor according to us nor according to our opponents, may we mean “two members;” nor, according to our opponents, may we mean “two powers;”","ولا يجوز عندنا ولا عند خصومنا أن نعني جارحتين، ولا يجوز عند خصومنا أن يعني قدرتين."
"and if three alternatives fail to hold true, the fourth is sounds namely, that the meaning of His words “with My two hands” is an assertion of the existence of two hands that are not two members and not two powers and not two graces, not qualified except insofar as it is said that they are two hands not like ordinary hands, and that they are not included in the three foregoing categories.","وإذا فسدت الأقسام الثلاثة صح القسم الرابع؛ وهو أن معنى قوله تعالى: (بيدي) إثبات يدين ليستا جارحتين، ولا قدرتين، ولا نعمتين لا يوصفان إلا بأن يقال: إنهما يدان ليستا كالأيدي، خارجتان عن سائر الوجوه الثلاثة التي سلفت."
"Question. Besides, if the meaning of God’s words “with My two hands” were “My two graces,’ Adam would have no superiority over Iblis in that respect, according to our opponents’ opinions because God created Iblis, according to their belief, as He created Adam, by that means, and it must be that by the two graces He meant either the body of Adam or that two accidents are created in the body of Adam.",مسألة:
,"وأيضا فلو كان معنى قوله تعالى: (بيدي) نعمتي لكان لا فضيلة لآدم صلى الله عليه وسلم على إبليس في ذلك على مذاهب مخالفينا؛ لأن الله تعالى قد ابتدأ إبليس على قولهم، كما ابتدأ آدم صلى الله عليه وسلم، وليس تخلو النعمتان أن يكونا هما بدن آدم صلى الله عليه وسلم، أو يكونا عرضين خلقا في بدن آدم عليه الصلاة والسلام،"
"Therefore, if He meant the body of Adam, then bodies, according to our Mutazilite opponents, are one genus; and since bodies, according to them, are one genus, then, according to their opinions, the same grace occurs in the flesh of Iblis as occurs in the flesh of Adam.","فلو كان عنى بدن آدم عليه السلام فلأبدان عند مخالفينا من المعتزلة جنس واحد، وإذا كانت الأبدان عندهم جنسا واحدا فقد حصل في جسد إبليس على مذاهبهم من النعمة ما حصل في جسد آدم صلى الله عليه وسلم،"
"Likewise, if He means two accidents, then there is no accident He has made in the body of Adam—color, life, prowess, nor anything besides—that He has not made, of the same genus, according to them, in the body of Iblis;","وكذلك إن عنى عرضين فليس من عرض فعله في بدن آدم صلى الله عليه وسلم من لون، أو حياة، أو قوة، أو غير ذلك إلا وقد فعل من جنسه عندهم في بدن إبليس، وهذا يوجب أنه لا فضيلة لآدم صلى الله عليه وسلم على إبليس في ذلك،"
and from this it follows that Adam has no superiority over Iblis in that respect.,
"God is Almighty, and He uses that as an argument against Iblis only in order to show him that Adam is superior in that respect; wherefore what we have said is a proof that God, since He said, “before him whom I have created with My two hands,” did not mean “My two graces.”","والله تعالى إنما احتج على إبليس بذلك ليريه أن لآدم صلى الله عليه وسلم في ذلك الفضيلة، فدل ما قلناه على أن الله عز وجل لما قال: (خلقت بيدي) لم يعن نعمتي "
"Answer. It may also be said to them: Why do you deny that God means, by His words “My two hands,” two hands that are not two graces?",مسألة:
,ويقال لهم: لم أنكرتم أن يكون الله تعالى عنى بقوله: (بيدي) يدين ليستا نعمتين؟
"Therefore, if they say, “Because, if the hand is not grace, it is nothing but a member,” the answer is: Why do you conclude that the hand, if it is not grace, is nothing but a member? If, then, they refer us to our proof text and to our own experience of the created world, and say, “The hand, if it is not grace in the proof text, is nothing but a member,”",فإن قالوا: لأن اليد إذا لم تكن نعمة لم تكن إلا جارحة.
,"قيل لهم: ولم قضيتم أن اليد إذا لم تكن نعمة لم تكن إلا جارحة؟ وإن رجعونا إلى شاهدنا، أو إلى ما نجده فيما بيننا من الخلق فقالوا: اليد إذا لم تكن نعمة في الشاهد لم تكن إلا جارحة."
"the answer is: If you make use of the proof text and draw conclusions concerning God from it, then neither do we find a living creature that is not a body consisting of flesh and blood; and therefore, draw conclusions about God from that, and if you do not, you go back upon your belief and contradict your argument.",قيل لهم: إن عملتم على الشاهد وقضيتم به على الله تعالى فكذلك لم نجد حيا من الخلق إلا جسما لحما ودما فاقضوا بذلك على الله -تعالى عن ذلك- وإلا كنتم لقولكم تاركين ولاعتلالكم ناقضين.
"But if you assert the existence of a living thing not like the living things we know, then why do you deny that the two hands of which God spoke are two hands that are not two graces and not two members and not like a number of hands?","وإن أثبتم حيا لا كالأحياء منا فلم أنكرتم أن تكون اليدان اللتان أخبر الله تعالى عنهما يدين ليستا نعمتين ولا جارحتين، ولا كالأيدي؟ "
