"In the name of God, merciful and compassionate","بسم الله الرحمن الرحيم
"
"Prohibition for a Reason That Is Clearer Than That in the Preceding Discussion Mālik reported to us from Nāfiʿ, from Ibn ʿUmar, that God’s Emissary said: “Each of the two parties to the sale has the option to rescind against the other party, as long as they have not separated, except in the case of a sale with a stipulated option.”","النهي عن معنىً أوضحَ من معنىً قَبْلهُ. أخبرنا ""مالك"" عن ""نافع"" عن ""ابن عمر"" أنَّ رسولَ الله قال: "" المُتَبَايِعَانِ كُلُّ وَاحِدٍ مِنْهُمَا بِالْخِيَارِ عَلَى صَاحِبِهِ مَا لَمْ يَتَفَرَّقَا، إلاَّ بَيْعَ الخِيَارِ "" ."
"Sufyān reported to us from al-Zuhrī, from Saʿīd ibn al-Musayyab, from Abū Hurayrah, that the Prophet said: “No one should make an offer to sell that interferes with the sale of his counterpart.”","أخبرنا ""سفيان"" عن ""الزهري"" عن ""سعيد بن المسيب"" عن ""أبي هريرة"" أنَّ رسولَ الله قال: "" لاَ يَبِيعُ الرَّجُلُ عَلَى بَيْعِ أَخِيهِ "" ."
Al-Shāfiʿī said: This point clarifies that God’s Emissary’s statement “The two parties to the sale have the option to rescind as long as they have not separated” and his prohibition against making an offer to sell that interferes with the sale of the offeror’s counterpart only apply if the other two have concluded a sale but not yet left the place where they concluded the sale.,"قال ""الشافعي"": وهذا معنى يُبَيِّنُ أن رسول الله قال: ""المتبايعان بالخيار ما لم يتفرقا""، وأنَّ نهيه عن أن يبيع الرجل على بيع أخيه، إنما هو قبل أن يتَفَرَّقا عن مقامهما الذي تبايعا فيه."
"That is, the two of them have not become “parties to a sale” until they actually contract the sale together.","وذلك أنهما لا يكونان متبايعين حتى يَعْقدا البيْعَ معاً،"
"If the sale, once contracted, becomes binding on each of them, then it does not injure the seller if another man sells the buyer goods like those of the seller, or other goods, inasmuch as the seller’s sale of his own goods has already been completed.","فلو كان البيع إذا عَقَداه لزم كلَّ واحد منهما، ما ضَرَّ البائِعَ أن يبيعه رجلٌ سِلْعَةً كسلعته أو غيرَها، وقد تمَّ بيعه لِسِلْعته،"
"When, however, they have the option to rescind, then if a man buys a garment from another man for ten dinars, and someone else comes along and offers him the like of it for nine dinars, most likely the buyer would void the first sale, if he had the option to rescind before separating from the first seller.","ولكنه لَمَّا كان لهما الخِيار كان الرجل لو اشترى من رجلٍ ثَوْبًا بِعشرة دنانِيرَ فجاءه آخر فأعطاه مثله بتسعة دنانير: أشْبَهَ أن يَفْسَخَ البيعَ، إذا كان له الخيارُ قبل أن يفارقه،"
"Perhaps he would void it, and then the sale between him and the other seller would not be completed.","ولعله يفسخه ثم لا يَتِمُّ البيع بينه وبَيْنَ بَيِّعِهِ الآخر،"
"That other seller would have spoiled things for the first seller and the buyer, or for one of them.","فيكونُ الآخَرُ قد أفسد على البائع وعلى المشتري، أو على أحدهما."
So that is the point of the prohibition against a man offering to sell in a way that interferes with the sale of his counterpart—there can be no other point.,"فهذا وجْهُ النهي عن أن يبيع الرجلُ على بَيْعِ أخيه، لاَ وَجْهَ له غيرُ ذلك."
"Do you not see that if he sells him a robe for ten dinars and the sale becomes binding on him before they leave their spot and then someone else sells him one better than it for a dinar, that does not hurt the first seller because the sale for ten dinars has become binding and the buyer cannot void it?","ألاَ تَرَى أنه لوْ باعَهُ ثوباً بعشرة دنانيرَ، فلزمه البيع قبل أن يتفرقا من مقامهما ذلك، ثم باعه آخر خيراً منه بدينار: لم يَضُرَّ البائِعَ الأوَّلَ، لأنه قد لَزِمَهُ عَشْرَةُ دنانيرَ لا يستطيع فسخَها؟!"
It is narrated from the Prophet that he said: “Let none of you overbid his counterpart.”,"قال: وقد رُوِيَ عن النبي أنه قال: ""لاَ يَسُومُ أَحَدُكُمْ عَلَى سَوْمِ أَخِيهِ "" ،"
"If that report is confirmed, though I do not remember it being so, then it is just like the Prophet’s saying “Let none of you make a marriage proposal that interferes with the marriage proposal of his counterpart.” A second potential buyer should not overbid the first buyer if that first buyer has accepted the sale, and gives permission for it to occur prior to the actual exchange, such that when it occurs, it becomes binding on him.","فإن كان ثابتاً، ولسْتُ أحفظه ثابتاً، فهو مثل: "" لاَ يَخْطُبْ أَحَدُكُمْ عَلَى خِطْبَةِ أَخِيهِ ""، لا يسوم على سومه إذا رضي البيعَ وأذِنَ بأن يُباعَ قبل البيع، حتى لوْ بِيعَ لَزِمَهُ."
"If someone were to ask, “What indicates that?”",فإن قال قائل: ما دل على ذلك؟
God’s Emissary sold to people who increased their offers.,"فإن رسول الله باع فيمن يزيد،"
Sales involving persons who increase their offers are the same as overbidding one’s counterpart.,"وبيْعُ مَنْ يَزيدُ سَوْمُ رجُلٍ على سوم أخيه،"
 The seller did not accept the first bid and demanded more.,ولكن البائع لم يرْضَ السَّوْمَ الأوَّلَ حتى طَلَبَ الزِّيَادَةَ.
"Prohibition for a Reason Resembling the Preceding Discussion in One Way, and Differing from It in Another","النهي عن معنى يُشْبِه الذي قبلَه في شيء ويفارقه في شيء غيره
"
"Mālik reported to us from Muḥammad ibn Yaḥyā ibn Ḥabbān, from al-Aʿraj, from Abū Hurayrah, that God’s Emissary prohibited prayer between late afternoon and sunset and between dawn and sunrise.
","أخبرنا ""مالك"" عن ""محمد بن يحيى بن حَبَّان"" عن ""الأعرج"" عن ""أبي هريرة"": "" أنَّ رَسُولَ اللهِ نَهَى عَنِ الصَّلَاةِ بَعْدَ العَصْرِ حَتَّى تَغْرُبَ الشَّمْسُ، وَعَنِ الصَّلَاةِ بَعْدَ الصُّبْحِ حَتَّى تَطْلُعَ الشَّمْسُ "" .
"
"Mālik reported to us from Nāfiʿ, from Ibn ʿUmar, that God’s Emissary said: “Let none of you attempt to perform the prayer at the rising or the setting of the sun.”","أخبرنا ""مالك"" عن ""نافع"" عن ""ابن عمر"" أن رسول الله قال: [ص:317] "" لاَ يَتَحَرَّى أَحَدُكُمْ بِصَلاَتِهِ عِنْدَ طُلُوعِ الشَّمْسِ وَلاَ عِنْدَ غُرُوبِهَا "" .
"
"Mālik reported to us from Zayd ibn Aslam, from ʿAṭāʾ ibn Yasār, from ʿAbdallāh al-Ṣunābiḥī, that God’s Emissary said: “The sun rises with Satan’s horn, but if it rises higher they separate. When it reaches its zenith, they are paired again, but when it declines they separate. Then, when it is about to set, they are paired, but when it sets, they separate.” God’s Emissary prohibited prayer at those times.
","أخبرنا ""مالك"" عن ""زيد بن أسلم"" عن ""عطاء بن يسار"" عن ""عبد الله الصُّنَابِحِيِّ""، أنَّ رسولَ الله قال: "" إنَّ الشَّمْسَ تَطْلُعُ [ص:320] وَمَعَهَا قَرْنُ الشَّيْطَانِ، فَإِذَا ارْتَفَعَتْ فَارَقَهَا، ثُمَّ إذَا اسْتَوَتْ قَارَنَهَا، فَإِذَا زَالَتْ فَارَقَهَا، ثُمَّ إذَا دَنَتْ لِلْغُرُوبِ قَارَنَهَا، فَإِذَا غَرُبَتْ فَارَقَهَا، وَنَهَى رَسُولُ اللهِ عَنِ الصَّلاَةِ فِي تِلْكَ السَّاعَاتِ "" .
"
God’s Emissary’s prohibition against prayer during those times has two possible interpretations.,"فاحتمل النهي من رسول الله عن الصلاة في هذه الساعات معنيين:
"
"One, and it is the least restrictive of the two, is that all prayers are forbidden at those times, whether obligatory prayers that must be made up because of forgetfulness or sleeping late, or those that become binding for whatever other reason. 
","أحدهما: - وهو أعَمُّهما - أنْ تكون الصلوات كلها، واجِبها الذي نُسي ونيم عنه، وما لزم بوجه من الوجوه منها: مُحَرَّمًا في هذه الساعات، "
"No one may perform them at those times. If someone did pray then, it would not fulfill his obligation to pray, just as when someone performs a prayer prior to its appointed time—it does not satisfy his obligation.","لا يكون لأحد أن يُصلي فيها، ولو صلى لم يؤدي ذلك عنه ما لزمه من الصلاة، كما يكون مَنْ قدَّم صلاةً قبْل دخول وقتها لم تُجْزي عنه."
