The History of al-Tabari,تاريخ الطبري
Kisra presented himself for inspection before Babak with his weapons all complete except for the two cords he was supposed to tie on his back.,فاعترض كسرى على بابك بسلاح تام ما خلا الوترين اللذين كان يستظهر بهما
"Babak did not pass over his name, but said to him, ""O king, you are standing in such a place where all are treated equally, where no partiality on my part can be shown nor any relaxation!","فلم يجز بابك عن اسمه، وقال له: إنك أيها الملك واقف في موضع المعدلة التي لا محاباة تكون مني معها ولا هوادة، فهلم كل ما يلزمك من صنوف الأسلحة"
"So step forward with all the requisite kinds of weapons!""",
"At that point, Kisra remembered the matter of the two cords, so he let them hang down.","فذكر كسرى قصة الوترين فتعلقهما،"
,
"Babak's herald now sang out in a loud voice, saying, ""For the brave warrior, lord of brave warriors, four thousand and one dirhams,"" and Babak passed over his name.","ثم غرد داعي بابك بصوته، وقال: للكمي سيد الكماة أربعة آلاف درهم، وأجاز بابك عن اسمه،"
Then the king re-turned home. Now Babak used to give the king a pay rate superior to that of the rest of the soldiers by one dirham.,ثم الصرف وكان يفضل الملك في العطاء على أكثر المقاتلة عطاء بدرهم.
,
"When Babak got  up from his seat [on the platform], he went to Kisra and told him,","فلما قام بابك من مجلسه ذلك أتى كسرى، فقال: إن غلظتي في الأمر الذي أغلظت فيه عليك اليوم أيها الملك، إنما هي لأن ينفذ لي عليه الأمر الذي وضعتني بسبيله، وسبب من أوثق الأسباب لما يريد الملك إحكامه لمكاني."
"""The lack of consideration that I showed you today, O king, was only so that the function with which you charged me could be thereby properly discharged, because the most secure way of achieving the king's aim is his making my office as firmly based as possible.""",
"Kisra replied, ""We don't regard as any lack of consideration for us a procedure that I desire for the furtherance of the welfare of my subjects and by means of which the injury of an injured person may be set right.""","فقال كسرى: ما غلظ علينا أمر أريد به صلاح رعيتنا، وأقيم عليه أود ذي الأود منهم."
,
"Kisra now dispatched to Yemen an army under the command of a man from the people of Yemen called Sayfan b. Ma'di Karib— some authorities aver, however, that he was called Sayf b. Dhi Yazan—which killed the blacks there (i.e., the Abyssinians) and conquered the land.","ثم إن كسرى وجه مع رجل من أهل اليمن يقال له سيفان بن معديكرب- ومن الناس من يقول إنه كان يسمى سيف بن ذي يزن- جيشا إلى اليمن، فقتلوا من بها من السودان، واستولوا عليها"
"Having secured the submission of the land of Yemen, Kisra sent one of his commanders, with a numerous army, against Sarandlb, the land of precious stones, in the land of India. The commander attacked its king, killed him, and seized control of it, sending back from there to Kisra abundant wealth and many jewels.","فلما دانت لكسرى بلاد اليمن وجه إلى سرنديب من بلاد الهند- وهي أرض الجوهر- قائدا من قواده في جند كثيف، فقاتل ملكها فقتله، واستولى عليها، وحمل إلى كسرى منها أموالا عظيمة، وجوهرا كثيرا."
,
"In the land of Persia there were no jackals (banat awa), but some of them infiltrated into Persia from the land of the Turks during the reign of Kisra Anusharwan.","ولم يكن ببلاد الفرس بنات آوى، فتساقطت إليها من بلاد الترك في ملك كسرى أنوشروان،"
"News of this reached Kisra, and caused him anguish.","فبلغ ذلك كسرى، فبلغ ذلك منه مشقة،"
"He summoned the Chief Mobadh and told him, ""We have heard about the appearance of those wild beasts in our land, and it has distressed the people. We are, however, astonished that they consider such an insignificant occurrence as so portentous; tell us what you think about all this.""","فدعا بموبذان موبذ، فقال: إنه بلغنا تساقط هذه السباع إلى بلادنا، وقد تعاظم الناس ذلك، فتعجبنا من استعظامهم أمرها لهوانها، فأخبرنا برأيك في ذلك."
,
"The Chief Mobadh replied, ""O king—may God grant you long life—I have heard our scholars learned in the divine law say that, so long as justice does not overlay tyranny in a land and itself becomes obliterated, the people of that land will be afflicted by incursions of their enemies against them, and all sorts of unpleasant things will gradually come upon them.","فقال له موبذان موبذ: فإني سمعت أيها الملك- عمرك الله- فقهاءنا يقولون: متى لا يغمر في بلدة العدل الجور، ويمحق، بلي أهلها بغزو أعدائهم لهم، وتساقط إليهم ما يكرهون"
"I have become afraid lest the infiltration of these wild beasts into your land is connected with what I have just told you.""","، وقد تخوفت أن يكون تساقط هذه السباع إلى بلادك لما أعلمتك من هذا الخطب"
"Very soon afterward, the news reached  Kisra that a band of Turkish youths had raided the furthest boundaries of his land.","فلم يلبث كسرى أن تناهى إليه أن فتيانا من الترك قد غزوا أقصى بلاده،"
He ordered his ministers and provincial governors not to go beyond what was just in the course of their official duties and not to act in any way during the course of those duties except justly.,"فأمر وزراءه وأصحاب أعماله ألا يتعدوا فيما هم بسبيله العدل، ولا يعملوا في شيء منه إلا به،"
"Because of this policy of acting justly, God deflected that enemy from Kisra's land without his having to make war on them or to undertake great trouble in repelling them.","فصرف الله لما جرى من العدل ذلك العدو عن بلاده من غير أن يكون حاربهم، أو كلف مئونة في أمرهم."
